id,firmano,yetkiid,bolumid,frmid,kontid,havuz,deguser,degtarsaat,olususer,olustarsaat,Modul,Rap_id
484,,2,6,81,1400,,,,,,,
485,,2,7,39,1235,,,,,,,0
486,,2,7,39,1236,,,,,,,0
487,,2,7,39,1237,,,,,,,0
488,,2,7,39,1238,,,,,,,0
489,,2,7,39,1239,,,,,,,0
490,,2,7,39,1240,,,,,,,0
491,,2,7,39,1241,,,,,,,0
492,,2,7,39,1242,,,,,,,0
493,,2,7,39,1243,,,,,,,0
494,,2,7,39,1244,,,,,,,0
495,,2,7,39,1246,,,,,,,0
496,,2,7,39,1248,,,,,,,0
497,,2,7,39,1249,,,,,,,0
498,,2,7,39,1250,,,,,,,0
499,,2,7,39,1533,,,,,,,0
500,,2,7,39,1534,,,,,,,0
501,,2,7,39,1535,,,,,,,0
502,,2,7,40,1251,,,,,,,0
503,,2,7,40,1252,,,,,,,0
504,,2,7,40,1253,,,,,,,0
505,,2,7,40,1254,,,,,,,0
506,,2,7,40,1255,,,,,,,0
507,,2,7,40,1256,,,,,,,0
508,,2,7,40,1257,,,,,,,0
509,,2,7,40,1258,,,,,,,0
510,,2,7,40,1259,,,,,,,0
511,,2,7,40,1260,,,,,,,0
512,,2,7,40,1536,,,,,,,0
513,,2,7,40,1537,,,,,,,0
514,,2,7,40,1538,,,,,,,0
515,,2,7,40,1539,,,,,,,0
516,,2,7,40,1540,,,,,,,0
517,,2,7,40,1541,,,,,,,0
518,,2,7,40,1542,,,,,,,0
519,,2,7,40,1543,,,,,,,0
520,,2,7,40,1544,,,,,,,0
521,,2,7,40,1545,,,,,,,0
522,,2,7,40,1565,,,,,,,0
523,,2,7,41,1261,,,,,,,0
524,,2,7,41,1262,,,,,,,0
525,,2,7,41,1546,,,,,,,0
526,,2,7,41,1547,,,,,,,0
527,,2,7,41,1548,,,,,,,0
528,,2,7,41,1549,,,,,,,0
529,,2,7,41,1550,,,,,,,0
530,,2,7,42,1264,,,,,,,0
531,,2,7,42,1265,,,,,,,0
532,,2,7,42,1266,,,,,,,0
533,,2,7,43,1267,,,,,,,0
534,,2,7,43,1268,,,,,,,0
535,,2,7,43,1551,,,,,,,0
536,,2,7,44,1269,,,,,,,0
537,,2,7,44,1270,,,,,,,0
538,,2,7,45,1271,,,,,,,0
539,,2,7,45,1272,,,,,,,0
540,,2,7,46,1273,,,,,,,0
541,,2,7,46,1274,,,,,,,0
542,,2,7,46,1275,,,,,,,0
543,,2,7,46,1276,,,,,,,0
544,,2,7,46,1552,,,,,,,0
545,,2,7,112,1553,,,,,,,0
546,,2,7,112,1554,,,,,,,0
547,,2,7,112,1555,,,,,,,0
548,,2,7,112,1556,,,,,,,0
549,,2,7,112,1557,,,,,,,0
550,,2,7,112,1558,,,,,,,0
551,,2,7,112,1559,,,,,,,0
552,,2,7,112,1560,,,,,,,0
553,,2,7,112,1561,,,,,,,0
554,,2,7,112,1562,,,,,,,0
555,,2,7,112,1563,,,,,,,0
556,,2,7,113,1564,,,,,,,0
557,,2,15,92,1478,,,,,,,
558,,2,15,92,1479,,,,,,,
559,,2,15,92,1480,,,,,,,
560,,2,15,92,1481,,,,,,,
561,,2,15,92,1482,,,,,,,
562,,2,15,92,1483,,,,,,,
563,,2,15,92,1484,,,,,,,
564,,2,15,92,1485,,,,,,,
565,,2,15,92,1486,,,,,,,
566,,2,15,92,1488,,,,,,,
567,,2,15,92,1489,,,,,,,
